Date,Sales
2023-05-12,434
2023-05-13,398
2023-05-14,396
2023-05-15,416
2023-05-16,130
2023-05-17,477
2023-05-18,208
2023-05-19,431
2023-05-20,273
2023-05-21,213
2023-05-22,247
2023-05-23,484
2023-05-24,200
2023-05-25,285
2023-05-26,149
2023-05-27,479
2023-05-28,431
2023-05-29,194
2023-05-30,385
2023-05-31,214
2023-06-01,162
2023-06-02,355
2023-06-03,122
2023-06-04,109
2023-06-05,348
2023-06-06,410
2023-06-07,296
2023-06-08,100
2023-06-09,341
2023-06-10,365
2023-06-11,335
2023-06-12,305
2023-06-13,379
2023-06-14,103
2023-06-15,210
2023-06-16,220
2023-06-17,232
2023-06-18,379
2023-06-19,272
2023-06-20,188
2023-06-21,152
2023-06-22,145
2023-06-23,297
2023-06-24,116
2023-06-25,292
2023-06-26,125
2023-06-27,347
2023-06-28,433
2023-06-29,271
2023-06-30,345
2023-07-01,397
2023-07-02,334
2023-07-03,407
2023-07-04,425
2023-07-05,272
2023-07-06,340
2023-07-07,257
2023-07-08,171
2023-07-09,343
2023-07-10,119
2023-07-11,317
2023-07-12,407
2023-07-13,470
2023-07-14,121
2023-07-15,465
2023-07-16,317
2023-07-17,189
2023-07-18,131
2023-07-19,154
2023-07-20,351
2023-07-21,204
2023-07-22,455
2023-07-23,138
2023-07-24,285
2023-07-25,240
2023-07-26,323
2023-07-27,339
2023-07-28,311
2023-07-29,485
2023-07-30,147
2023-07-31,249
2023-08-01,269
2023-08-02,419
2023-08-03,314
2023-08-04,353
2023-08-05,220
2023-08-06,189
2023-08-07,258
2023-08-08,174
2023-08-09,391
2023-08-10,209
2023-08-11,206
2023-08-12,372
2023-08-13,295
2023-08-14,412
2023-08-15,281
2023-08-16,102
2023-08-17,397
2023-08-18,276
2023-08-19,405
2023-08-20,113
2023-08-21,144
2023-08-22,116
2023-08-23,424
2023-08-24,369
2023-08-25,443
2023-08-26,407
2023-08-27,435
2023-08-28,288
2023-08-29,262
2023-08-30,257
2023-08-31,293
2023-09-01,376
2023-09-02,333
2023-09-03,414
2023-09-04,240
2023-09-05,408
2023-09-06,196
2023-09-07,431
2023-09-08,305
2023-09-09,277
2023-09-10,259
2023-09-11,446
2023-09-12,438
2023-09-13,321
2023-09-14,290
2023-09-15,132
2023-09-16,244
2023-09-17,415
2023-09-18,146
2023-09-19,485
2023-09-20,408
2023-09-21,346
2023-09-22,157
2023-09-23,137
2023-09-24,309
2023-09-25,340
2023-09-26,413
2023-09-27,359
2023-09-28,289
2023-09-29,112
2023-09-30,414
2023-10-01,380
2023-10-02,375
2023-10-03,451
2023-10-04,116
2023-10-05,295
2023-10-06,273
2023-10-07,480
2023-10-08,420
2023-10-09,275
2023-10-10,372
2023-10-11,299
2023-10-12,469
2023-10-13,484
2023-10-14,225
2023-10-15,150
2023-10-16,363
2023-10-17,267
2023-10-18,267
2023-10-19,431
2023-10-20,168
2023-10-21,204
2023-10-22,205
2023-10-23,382
2023-10-24,113
2023-10-25,230
2023-10-26,280
2023-10-27,429
2023-10-28,398
2023-10-29,356
2023-10-30,350
2023-10-31,270
2023-11-01,349
2023-11-02,423
2023-11-03,471
2023-11-04,305
2023-11-05,326
2023-11-06,423
2023-11-07,198
2023-11-08,123
2023-11-09,346
2023-11-10,458
2023-11-11,354
2023-11-12,227
2023-11-13,178
2023-11-14,394
2023-11-15,428
2023-11-16,403
2023-11-17,408
2023-11-18,290
2023-11-19,313
2023-11-20,175
2023-11-21,144
2023-11-22,268
2023-11-23,238
2023-11-24,165
2023-11-25,416
2023-11-26,232
2023-11-27,273
2023-11-28,114
2023-11-29,249
2023-11-30,217
2023-12-01,238
2023-12-02,172
2023-12-03,214
2023-12-04,100
2023-12-05,281
2023-12-06,495
2023-12-07,247
2023-12-08,246
2023-12-09,361
2023-12-10,350
2023-12-11,392
2023-12-12,327
2023-12-13,330
2023-12-14,222
2023-12-15,285
2023-12-16,113
2023-12-17,101
2023-12-18,178
2023-12-19,154
2023-12-20,140
2023-12-21,395
2023-12-22,128
2023-12-23,498
2023-12-24,307
2023-12-25,396
2023-12-26,438
2023-12-27,245
2023-12-28,282
2023-12-29,358
2023-12-30,340
2023-12-31,176
